rank,team,sp_plus,fpi,elo,returning_prod,talent,epa_net,sp_plus_norm,fpi_norm,elo_norm,returning_norm,talent_norm,epa_norm,composite,offense.rating,defense.rating,coaching_flag,sagarin,sagarin_norm
75,Memphis,0.3,-1.917,1528.0,0.056,,,0.3,-1.917,0.9333333333333333,-7.245294117647059,0.0,0.0,-1.4191863581494681,29.0,29.2,New HC: Charles Huff (experienced_hc),63.24,-2.475628722426281
76,New Mexico,0.0,-3.531,1495.8,0.582,,,0.0,-3.531,-0.1400000000000015,3.274705882352941,0.0,0.0,-1.6768252919423938,25.6,26.1,,62.81,-2.6977753911820037
77,East Carolina,-2.3,-0.564,1565.1,0.136,,,-2.3,-0.564,2.169999999999997,-5.645294117647058,0.0,0.0,-1.8049850928502913,24.1,26.3,,60.51,-3.8860017589451745
78,UTSA,-1.1,-5.31,1617.6,0.669,,,-1.1,-5.31,3.919999999999997,5.014705882352942,0.0,0.0,-2.069516648895539,29.9,31.1,,63.92,-2.1243270136963006
79,Fresno State,-1.4,-2.498,1533.6,0.383,,,-1.4,-2.498,1.119999999999997,-0.7052941176470584,0.0,0.0,-2.149854290529754,21.0,22.4,,59.78,-4.263134475670005
80,Hawai'i,-2.6,-2.371,1471.3,0.645,,,-2.6,-2.371,-0.9566666666666682,4.534705882352942,0.0,0.0,-2.2546124757212103,25.9,29.1,,60.58,-3.849838347752382
81,Texas State,-2.1,-4.26,1574.2,0.76,,,-2.1,-4.26,2.473333333333335,6.834705882352941,0.0,0.0,-2.269296347488543,33.2,35.4,,61.61,-3.317719583058441
82,Boston College,-2.5,-2.668,1401.3,0.156,,,-2.5,-2.668,-3.2900000000000014,-5.2452941176470596,0.0,0.0,-2.4243081942798623,24.7,27.7,,65.7,-1.2047431290795871
83,Stanford,-2.3,-3.344,1384.5,0.213,,,-2.3,-3.344,-3.85,-4.105294117647059,0.0,0.0,-2.467686115584782,22.5,24.2,New HC: Tavita Pritchard (first_time_hc) | adj=-1.0pts,66.8,-0.6364609531928573
84,Army,-2.4,-5.63,1562.3,0.802,,,-2.4,-5.63,2.0766666666666653,7.674705882352942,0.0,0.0,-2.6747763150913264,24.8,27.2,,62.91,-2.6461133751923036
85,Washington State,-4.3,-4.054,1534.3,0.913,,,-4.3,-4.054,1.1433333333333318,9.894705882352943,0.0,0.0,-2.7859179414686928,20.4,24.6,New HC: Kirby Moore (first_time_hc) | adj=-1.0pts,61.44,-3.4055450102409366
86,Western Michigan,-6.0,-4.037,1532.2,0.997,,,-6.0,-4.037,1.0733333333333348,11.574705882352943,0.0,0.0,-3.6219646030121164,19.6,25.2,,57.53,-5.425529835438321
87,North Dakota State,-1.8,-8.324,,,,,-1.8,-8.324,0.0,0.0,0.0,0.0,-3.8949810221791474,24.1,25.9,,63.83,-2.170822828087035
88,Toledo,-9.1,-2.972,1602.2,0.663,,,-9.1,-2.972,3.406666666666668,4.894705882352942,0.0,0.0,-4.378204371522797,17.9,26.6,New HC: Mike Jacobs (first_time_hc) | adj=-1.0pts,56.53,-5.942149995335352
89,Old Dominion,-6.9,-4.435,1619.0,0.092,,,-6.9,-4.435,3.966666666666667,-6.525294117647058,0.0,0.0,-4.395837462291444,19.6,25.8,,60.09,-4.102982226101924
90,Air Force,-3.2,-6.842,1420.2,0.574,,,-3.2,-6.842,-2.6599999999999984,3.1147058823529408,0.0,0.0,-4.4015838544106485,24.8,28.1,,58.76,-4.790087038764977
91,Western Kentucky,-7.3,-4.859,1435.6,0.837,,,-7.3,-4.859,-2.1466666666666696,8.374705882352941,0.0,0.0,-4.644665464589406,24.2,32.0,,57.94,-5.2137155698805415
