year,team,conference,fpi,resumeRanks.strengthOfRecord,resumeRanks.fpi,resumeRanks.averageWinProbability,resumeRanks.strengthOfSchedule,resumeRanks.remainingStrengthOfSchedule,resumeRanks.gameControl,efficiencies.overall,efficiencies.offense,efficiencies.defense,efficiencies.specialTeams
2026,Old Dominion,Sun Belt,-4.435,0,83,0,115,114,0,,,,
2026,Akron,Mid-American,-16.834,27,132,39,117,128,36,29.404,49.8,21.348,42.86
2026,Central Michigan,Mid-American,-12.806,0,121,0,86,84,0,,,,
2026,Eastern Michigan,Mid-American,-15.941,26,130,21,122,109,37,32.946,17.731,69.708,19.183
2026,Iowa,Big Ten,10.569,0,25,0,39,39,0,,,,
2026,Michigan,Big Ten,15.875,0,15,0,16,17,0,,,,
2026,Kansas State,Big 12,5.057,0,41,0,68,68,0,,,,
2026,Miami,ACC,24.506,4,6,8,47,43,1,95.749,93.513,91.336,52.971
2026,Minnesota,Big Ten,2.34,20,56,7,36,30,12,88.107,69.172,71.309,95.946
2026,Oregon,Big Ten,25.276,0,4,0,26,29,0,,,,
2026,SMU,ACC,11.117,0,23,0,54,54,0,,,,
2026,Texas Tech,Big 12,20.016,0,10,0,70,70,0,,,,
2026,Missouri,SEC,10.179,24,27,2,12,4,11,54.777,45.599,41.468,84.051
2026,NC State,ACC,-1.234,27,72,37,64,67,27,38.33,8.855,49.76,91.29
2026,North Carolina,ACC,6.271,2,38,22,28,28,9,72.611,53.163,87.606,9.228
2026,Tulsa,American Athletic,-8.963,0,105,0,106,104,0,,,,
2026,Texas A&M,SEC,20.002,0,11,0,10,11,0,,,,
2026,Memphis,American Athletic,0.02,3,65,23,95,97,13,73.185,68.969,62.612,71.247
2026,Virginia,ACC,10.719,5,24,12,66,65,4,85.958,71.625,98.424,9.094
2026,Washington,Big Ten,9.893,0,28,0,24,24,0,,,,
2026,Mississippi State,SEC,4.082,0,49,0,5,6,0,,,,
2026,Illinois,Big Ten,5.705,11,39,16,38,34,16,66.441,89.996,47.209,39.219
2026,Kansas,Big 12,3.998,21,51,13,60,56,23,73.76,76.495,70.172,34.592
2026,North Dakota State,Mountain West,-1.574,12,73,17,130,124,20,72.926,44.331,85.656,73.054
2026,Auburn,SEC,12.007,0,21,0,14,15,0,,,,
2026,UTEP,Mountain West,-19.175,27,136,40,72,88,25,8.017,13.453,41.807,1.651
2026,Wyoming,Mountain West,-13.069,0,122,0,131,129,0,,,,
2026,Stanford,ACC,-4.262,9,82,26,27,32,30,44.614,55.039,38.326,45.249
2026,Baylor,Big 12,6.518,0,37,0,40,40,0,,,,
2026,Boston College,ACC,-2.668,0,76,0,25,27,0,,,,
2026,Navy,American Athletic,-0.712,0,68,0,84,82,0,,,,
2026,Sacramento State,Mid-American,-20.729,27,138,34,137,136,39,23.822,3.918,47.613,86.418
2026,UCLA,Big Ten,0.472,0,63,0,35,37,0,,,,
