team,elo
Northwood,1511.8
Wilkes,1511.8
Henderson State,1511.8
Gettysburg,1511.8
Simpson (CA),1511.8
North Carolina Wesleyan,1511.8
Lewis & Clark,1511.8
East Texas Baptist,1511.8
West Chester,1511.8
McMurry,1511.8
DePauw,1511.8
Berry,1511.8
Wisconsin Stout,1511.8
McNeese,1511.7
UCF,1511.3
Grinnell,1511.0
Franklin,1511.0
Ursinus,1511.0
Saint John's (MN),1511.0
Bloomsburg,1510.7
Mars Hill,1510.5
Ohio Dominican,1510.3
Marist,1509.7
Delaware State,1509.6
Edinboro,1509.4
Fresno State,1509.3
Youngstown State,1508.9
UT Martin,1508.7
Beloit,1508.7
Tusculum,1508.7
Chattanooga,1508.4
Fort Hays,1508.3
Central Arkansas,1507.8
Wagner,1507.8
Western New Mexico,1507.6
Catawba,1507.3
Allen,1506.4
Northern Arizona,1506.1
Wheaton (IL),1505.5
SUNY Maritime,1505.5
Cincinnati,1504.8
Minnesota Duluth,1504.3
Lock Haven,1504.1
West Virginia Wesleyan,1503.6
Lindenwood,1503.0
Weber State,1502.9
Louisiana Tech,1502.3
Susquehanna,1501.8
Midwestern State,1501.4
Fort Valley State,1501.0
Augustana (SD),1501.0
Edward Waters,1500.8
Hampton,1500.2
Prairie View A&M,1499.8
Baylor,1499.2
Shorter,1498.6
William Jewell,1498.2
Union,1498.2
St. Thomas (MN),1497.8
Presbyterian,1497.7
Southeast Missouri State,1497.3
Alcorn State,1497.0
New Haven,1496.5
Mississippi State,1495.5
Texas Southern,1495.1
Wisconsin,1494.6
Eastern Washington,1494.5
Worcester State,1494.5
Mount Union,1494.5
Butler,1494.3
Tuskegee,1494.2
North Carolina Central,1494.1
Central Missouri,1493.8
Tiffin,1493.3
Southern Illinois,1493.2
Stonehill,1492.9
West Liberty,1492.4
Colorado Mesa,1492.4
Sioux Falls,1491.7
Villanova,1491.6
Rockford,1491.3
Maryland,1491.2
Morgan State,1490.9
Bryant,1490.6
Andrew,1490.4
Southern Utah,1490.3
Kentucky State,1490.1
North Park,1489.0
Wisconsin La Crosse,1489.0
