week,homeTeam,awayTeam,home_score,away_score,model_spread,vegas_spread,edge_spread,model_total,vegas_total,edge_total,actual_margin,actual_total,confidence,grade,bet_spread,bet_total,won_spread,won_total
7,Pittsburgh,California,17,15,-2.6,-3.5,0.9,51.5,57.5,-6.0,2.0,32.0,1.0,A,,Under,,True
14,Clemson,South Carolina,14,17,-1.0,-3.0,2.0,50.0,49.5,0.5,-3.0,31.0,1.0,,,,,
7,West Virginia,Iowa State,16,28,5.5,3.0,2.5,56.4,54.0,2.4,-12.0,44.0,1.0,,,,,
11,Southern Miss,Marshall,3,37,22.3,13.5,8.8,58.8,53.5,5.3,-34.0,40.0,1.0,A+,Away,Over,True,False
11,North Texas,Army,3,14,9.9,6.5,3.4,68.7,68.0,0.7,-11.0,17.0,1.0,C,Away,,True,
11,James Madison,Georgia State,38,7,-20.8,-14.5,-6.3,56.9,53.5,3.4,31.0,45.0,1.0,A,Home,Over,True,False
11,Texas Tech,Colorado,27,41,2.4,4.5,-2.1,66.7,62.0,4.7,-14.0,68.0,1.0,B,,Over,,True
11,UAB,UConn,23,31,8.1,7.5,0.6,62.1,54.0,8.1,-8.0,54.0,1.0,A+,,Over,,
14,Colorado,Oklahoma State,52,0,-14.1,-15.0,0.9,63.5,67.0,-3.5,52.0,52.0,1.0,C,,Under,,True
14,Georgia,Georgia Tech,44,42,-20.3,-17.0,-3.3,56.8,49.0,7.8,2.0,86.0,1.0,A,Home,Over,False,True
7,Virginia,Louisville,20,24,14.9,7.0,7.9,59.2,54.0,5.2,-4.0,44.0,1.0,A,Away,Over,False,False
14,Tulane,Memphis,24,34,-6.0,-12.5,6.5,70.5,54.5,16.0,-10.0,58.0,1.0,A+,Away,Over,True,True
14,Syracuse,Miami,42,38,12.1,12.0,0.1,78.8,67.5,11.3,4.0,80.0,1.0,A+,,Over,,True
11,UTEP,Kennesaw State,43,35,-4.3,-4.5,0.2,38.8,42.5,-3.7,8.0,78.0,1.0,C,,Under,,False
11,Indiana,Michigan,20,15,-11.3,-14.5,3.2,39.9,47.5,-7.6,5.0,35.0,1.0,A,Away,Under,True,True
11,Tulane,Temple,52,6,-29.8,-26.0,-3.8,60.7,50.5,10.2,46.0,58.0,1.0,A+,Home,Over,True,True
7,UCF,Cincinnati,13,19,-4.5,-2.0,-2.5,51.0,58.0,-7.0,-6.0,32.0,1.0,A,,Under,,True
11,Louisiana,Arkansas State,55,19,-15.1,-14.0,-1.1,64.7,60.0,4.7,36.0,74.0,1.0,B,,Over,,True
7,Iowa,Washington,40,16,-10.0,-2.5,-7.5,39.2,41.5,-2.3,24.0,56.0,1.0,A,Home,,True,
7,Alabama,South Carolina,27,25,-11.5,-21.0,9.5,46.2,50.0,-3.8,2.0,52.0,1.0,A+,Away,Under,True,False
14,Vanderbilt,Tennessee,23,36,13.3,9.5,3.8,48.9,47.0,1.9,-13.0,59.0,1.0,C,Away,,True,
11,Oregon State,San José State,13,24,-1.0,-3.0,2.0,60.6,58.5,2.1,-11.0,37.0,1.0,,,,,
11,Vanderbilt,South Carolina,7,28,7.6,6.0,1.6,47.3,45.0,2.3,-21.0,35.0,1.0,,,,,
11,Louisiana Tech,Jacksonville State,37,44,7.9,10.0,-2.1,44.9,56.0,-11.1,-7.0,81.0,1.0,A+,,Under,,False
11,TCU,Oklahoma State,38,13,-12.3,-10.5,-1.8,64.1,68.5,-4.4,25.0,51.0,1.0,C,,Under,,True
11,Penn State,Washington,35,6,-19.3,-13.5,-5.8,49.7,47.5,2.2,29.0,41.0,1.0,B,Home,,True,
7,BYU,Arizona,41,19,-15.8,-3.0,-12.8,50.8,48.5,2.3,22.0,60.0,1.0,A+,Home,,True,
14,Missouri,Arkansas,28,21,-6.1,-3.0,-3.1,51.1,51.0,0.1,7.0,49.0,1.0,C,Home,,True,
11,New Mexico State,Western Kentucky,28,41,12.1,18.0,-5.9,50.0,53.5,-3.5,-13.0,69.0,1.0,B,Home,Under,True,False
14,SMU,California,38,6,-14.7,-12.5,-2.2,55.2,54.5,0.7,32.0,44.0,1.0,,,,,
14,Baylor,Kansas,45,17,-3.7,1.5,-5.2,64.2,62.0,2.2,28.0,62.0,1.0,B,Home,,True,
11,Oregon,Maryland,39,18,-27.2,-24.0,-3.2,57.7,58.0,-0.3,21.0,57.0,1.0,C,Home,,False,
11,Tennessee,Mississippi State,33,14,-25.2,-26.0,0.8,54.7,61.5,-6.8,19.0,47.0,1.0,A,,Under,,True
13,Kansas,Colorado,37,21,0.8,1.5,-0.7,61.3,59.5,1.8,16.0,58.0,1.0,,,,,
13,North Texas,East Carolina,28,40,-0.4,-2.5,2.1,74.1,74.5,-0.4,-12.0,68.0,1.0,,,,,
11,Air Force,Fresno State,36,28,4.7,10.0,-5.3,43.6,40.5,3.1,8.0,64.0,1.0,B,Home,Over,True,True
11,Washington State,Utah State,49,28,-14.8,-20.0,5.2,81.2,68.5,12.7,21.0,77.0,1.0,A+,Away,Over,False,True
11,LSU,Alabama,13,42,7.0,2.5,4.5,56.6,59.5,-2.9,-29.0,55.0,1.0,B,Away,,True,
11,UCLA,Iowa,20,17,9.6,6.5,3.1,40.1,45.0,-4.9,3.0,37.0,1.0,B,Away,Under,False,True
11,Ohio State,Purdue,45,0,-43.6,-37.5,-6.1,62.9,55.0,7.9,45.0,45.0,1.0,A,Home,Over,True,False
11,Wake Forest,California,36,46,7.1,7.0,0.1,53.5,55.0,-1.5,-10.0,82.0,1.0,,,,,
11,Utah,BYU,21,22,3.0,3.0,0.0,39.0,40.5,-1.5,-1.0,43.0,1.0,,,,,
11,San Diego State,New Mexico,16,21,-0.7,-1.5,0.8,63.5,65.0,-1.5,-5.0,37.0,1.0,,,,,
11,Central Michigan,Bowling Green,13,23,10.1,15.5,-5.4,50.4,49.0,1.4,-10.0,36.0,1.0,B,Home,,True,
11,East Carolina,Florida Atlantic,49,14,-10.8,-7.5,-3.3,56.7,58.5,-1.8,35.0,63.0,1.0,C,Home,,True,
11,Ball State,Miami (OH),21,27,14.8,13.0,1.8,54.1,48.0,6.1,-6.0,48.0,1.0,A,,Over,,
11,Texas,Florida,49,17,-15.1,-23.0,7.9,46.4,48.5,-2.1,32.0,66.0,1.0,A,Away,,False,
11,Cincinnati,West Virginia,24,31,-2.4,-5.5,3.1,56.0,54.5,1.5,-7.0,55.0,1.0,C,Away,,True,
11,Kansas,Iowa State,45,36,0.8,2.5,-1.7,55.5,52.5,3.0,9.0,81.0,1.0,C,,,,
11,Middle Tennessee,Liberty,17,37,14.9,12.5,2.4,55.3,55.0,0.3,-20.0,54.0,1.0,,,,,
11,Kent State,Ohio,0,41,28.7,20.5,8.2,60.8,53.0,7.8,-41.0,41.0,1.0,A+,Away,Over,True,False
11,South Florida,Navy,7,28,1.8,4.5,-2.7,62.4,58.5,3.9,-21.0,35.0,1.0,C,,Over,,False
11,Notre Dame,Florida State,52,3,-30.0,-25.5,-4.5,53.7,44.0,9.7,49.0,55.0,1.0,A+,Home,Over,True,True
11,Boston College,Syracuse,37,31,-1.3,-3.0,1.7,63.0,52.0,11.0,6.0,68.0,1.0,A+,,Over,,True
11,Virginia Tech,Clemson,14,24,2.3,5.5,-3.2,55.6,54.5,1.1,-10.0,38.0,1.0,C,Home,,False,
11,NC State,Duke,19,29,0.0,-3.0,3.0,50.0,51.5,-1.5,-10.0,48.0,1.0,C,,,,
11,Georgia Tech,Miami,28,23,11.4,9.5,1.9,73.1,65.0,8.1,5.0,51.0,1.0,A+,,Over,,False
11,Pittsburgh,Virginia,19,24,-9.7,-7.5,-2.2,54.2,57.5,-3.3,-5.0,43.0,1.0,C,,Under,,True
11,Arizona State,UCF,35,31,-8.2,-2.5,-5.7,53.7,55.5,-1.8,4.0,66.0,1.0,B,Home,,True,
11,Boise State,Nevada,28,21,-24.3,-23.5,-0.8,60.3,61.5,-1.2,7.0,49.0,1.0,,,,,
11,Western Michigan,Northern Illinois,28,42,4.1,2.0,2.1,47.9,52.0,-4.1,-14.0,70.0,1.0,C,,Under,,False
11,Memphis,Rice,27,20,-17.2,-7.0,-10.2,61.4,50.5,10.9,7.0,47.0,1.0,A+,Home,Over,,False
14,Akron,Toledo,21,14,10.2,9.0,1.2,48.9,49.5,-0.6,7.0,35.0,1.0,,,,,
11,Ole Miss,Georgia,28,10,-2.9,2.5,-5.4,47.4,55.0,-7.6,18.0,38.0,1.0,A,Home,Under,True,True
11,Missouri,Oklahoma,30,23,-4.9,3.5,-8.4,41.7,42.0,-0.3,7.0,53.0,1.0,A+,Home,,True,
14,Buffalo,Kent State,43,7,-26.0,-23.5,-2.5,59.0,51.0,8.0,36.0,50.0,1.0,A+,,Over,,False
12,Washington,UCLA,31,19,-6.0,-4.5,-1.5,40.4,47.0,-6.6,12.0,50.0,1.0,A,,Under,,False
12,Navy,Tulane,0,35,4.7,7.5,-2.8,59.5,49.0,10.5,-35.0,35.0,1.0,A+,,Over,,False
12,BYU,Kansas,13,17,-7.0,-3.0,-4.0,55.3,55.5,-0.2,-4.0,30.0,1.0,C,Home,,False,
12,Pittsburgh,Clemson,20,24,7.3,12.0,-4.7,57.5,52.0,5.5,-4.0,44.0,1.0,B,Home,Over,True,False
12,Kansas State,Arizona State,14,24,-4.7,-7.5,2.8,52.3,51.5,0.8,-10.0,38.0,1.0,,,,,
12,USC,Nebraska,28,20,-9.7,-6.5,-3.2,44.1,51.0,-6.9,8.0,48.0,1.0,A,Home,Under,True,True
12,Buffalo,Ball State,51,48,-13.0,-3.5,-9.5,63.3,55.5,7.8,3.0,99.0,1.0,A+,Home,Over,False,True
12,Bowling Green,Western Michigan,31,13,-10.3,-9.5,-0.8,59.1,57.5,1.6,18.0,44.0,1.0,,,,,
12,Miami (OH),Kent State,34,7,-32.5,-31.0,-1.5,56.8,47.5,9.3,27.0,41.0,1.0,A+,,Over,,False
