week,homeTeam,awayTeam,home_score,away_score,model_spread,vegas_spread,edge_spread,model_total,vegas_total,edge_total,actual_margin,actual_total,confidence,grade,bet_spread,bet_total,won_spread,won_total
1,Georgia Tech,Clemson,10,41,25.2,24.5,0.7,47.3,51.0,-3.7,-31.0,51.0,1.0,C,,Under,,
4,Oklahoma,Kansas State,34,41,2.4,-13.5,15.9,65.0,53.0,12.0,-7.0,75.0,1.0,A+,Away,Over,True,True
4,Texas A&M,Arkansas,23,21,-1.8,-1.5,-0.3,52.2,51.0,1.2,2.0,44.0,1.0,,,,,
4,Iowa State,Baylor,24,31,1.1,-2.5,3.6,37.6,45.0,-7.4,-7.0,55.0,1.0,A,Away,Under,True,False
4,Texas Tech,Texas,37,34,9.7,7.0,2.7,68.3,60.0,8.3,3.0,71.0,1.0,A+,,Over,,True
4,Kansas,Duke,35,27,0.8,-7.0,7.8,76.3,65.5,10.8,8.0,62.0,1.0,A+,Away,Over,False,False
8,East Carolina,UCF,34,13,6.0,5.5,0.5,57.2,63.0,-5.8,21.0,47.0,1.0,B,,Under,,True
8,Ohio,Northern Illinois,24,17,-15.3,2.5,-17.8,80.8,65.5,15.3,7.0,41.0,1.0,A+,Home,Over,True,False
8,James Madison,Marshall,12,26,-5.5,-9.5,4.0,27.6,48.5,-20.9,-14.0,38.0,0.75,A+,Away,Under,True,True
8,Louisiana,Arkansas State,38,18,-17.6,-6.0,-11.6,49.8,51.0,-1.2,20.0,56.0,1.0,A+,Home,,True,
8,Texas State,Southern Miss,14,20,4.7,2.5,2.2,33.7,43.0,-9.3,-6.0,34.0,1.0,A+,,Under,,True
10,Ohio,Buffalo,45,24,-5.2,2.5,-7.7,72.4,61.0,11.4,21.0,69.0,1.0,A+,Home,Over,True,True
7,Ole Miss,Auburn,48,34,-10.1,-15.5,5.4,68.6,55.5,13.1,14.0,82.0,1.0,A+,Away,Over,True,True
7,Florida,LSU,35,45,4.6,-2.0,6.6,66.5,51.5,15.0,-10.0,80.0,1.0,A+,Away,Over,True,True
8,Kent State,Akron,33,27,-12.6,-16.0,3.4,64.3,65.0,-0.7,6.0,60.0,1.0,C,Away,,True,
