week,homeTeam,awayTeam,home_score,away_score,model_spread,vegas_spread,edge_spread,model_total,vegas_total,edge_total,actual_margin,actual_total,confidence,grade,bet_spread,bet_total,won_spread,won_total
1,West Virginia,Coastal Carolina,31,24,-10.3,-21.0,10.7,57.1,54.5,2.6,7.0,55.0,0.8,A+,Away,,True,
2,Kansas State,Washington State,34,7,-11.3,-17.666666666666668,6.4,49.7,48.333333333333336,1.4,27.0,41.0,0.8,B,Away,,False,
2,Oklahoma State,Oregon,39,31,14.3,24.0,-9.7,55.0,55.166666666666664,-0.2,8.0,70.0,0.8,A,Home,,True,
2,Oregon State,Texas Tech,24,35,17.1,25.5,-8.4,54.0,52.5,1.5,-11.0,59.0,0.8,A,Home,,True,
2,Baylor,Prairie View A&M,44,3,-23.4,-37.5,14.1,58.7,55.5,3.2,41.0,47.0,0.7,A+,Away,Over,False,False
2,Colorado,Weber State,52,21,-23.9,-38.5,14.6,58.7,57.5,1.2,31.0,73.0,0.7,A+,Away,,True,
2,Cincinnati,Western Carolina,62,10,-21.1,-36.5,15.4,58.7,61.5,-2.8,52.0,72.0,0.7,A+,Away,,False,
2,Houston,Southern,77,6,-37.5,-51.666666666666664,14.2,55.6,61.666666666666664,-6.1,71.0,83.0,0.67,A+,Away,Under,False,False
2,Iowa,Iowa State,16,13,-13.7,-14.0,0.3,45.3,42.5,2.8,3.0,29.0,0.8,,,,,
2,TCU,Grambling,63,7,-26.7,-44.5,17.8,55.6,56.5,-0.9,56.0,70.0,0.67,A+,Away,,False,
2,Pittsburgh,UCF,12,7,-5.6,-7.166666666666667,1.6,49.0,55.333333333333336,-6.3,5.0,19.0,0.8,B,,Under,,True
2,West Virginia,UT Martin,52,7,-19.7,-41.5,21.8,53.5,57.166666666666664,-3.7,45.0,59.0,0.8,A+,Away,Under,False,False
2,BYU,Arizona,28,17,-5.5,-6.833333333333333,1.3,52.1,49.0,3.1,11.0,45.0,0.8,,,Over,,False
1,Stanford,Hawai'i,37,27,-3.6,-4.666666666666667,1.1,50.9,48.5,2.4,10.0,64.0,0.8,,,,,
1,Virginia,NC State,34,8,-8.0,-4.0,-4.0,49.3,50.5,-1.2,26.0,42.0,0.8,C,Home,,True,
1,Wake Forest,Akron,38,16,-17.7,-27.5,9.8,48.7,50.5,-1.8,22.0,54.0,0.8,A,Away,,True,
1,Stanford,Miami,6,45,20.4,24.5,-4.1,54.3,46.5,7.8,-39.0,51.0,0.8,A,Home,Over,False,True
1,Pittsburgh,Miami (OH),59,14,-17.5,-16.333333333333332,-1.2,52.7,47.333333333333336,5.4,45.0,73.0,0.8,C,,Over,,True
1,Syracuse,New Hampshire,66,3,-32.7,-35.166666666666664,2.5,58.7,56.166666666666664,2.5,63.0,69.0,0.7,,,,,
1,Duke,Tulane,17,3,-10.0,-9.0,-1.0,52.0,51.166666666666664,0.8,14.0,20.0,0.8,,,,,
1,California,UCLA,24,45,5.5,2.5,3.0,59.5,53.5,6.0,-21.0,69.0,0.8,B,,Over,,True
1,Virginia Tech,VMI,73,3,-59.2,-54.5,-4.7,58.6,61.0,-2.4,70.0,76.0,0.64,C,Home,,True,
1,Florida State,SMU,24,27,1.3,3.0,-1.7,52.6,53.833333333333336,-1.2,-3.0,51.0,0.8,,,,,
2,Miami,Florida A&M,77,7,-46.3,-59.5,13.2,61.7,66.0,-4.3,70.0,84.0,0.57,A,Away,Under,False,False
2,Boston College,Rutgers,28,21,0.2,-3.0,3.2,60.0,53.5,6.5,7.0,49.0,0.8,B,Away,Over,False,False
2,Louisville,Villanova,59,13,-24.8,-38.833333333333336,14.0,58.6,56.666666666666664,1.9,46.0,72.0,0.64,A+,Away,,False,
2,Syracuse,California,18,21,-1.2,-3.8333333333333335,2.6,51.8,56.666666666666664,-4.9,-3.0,39.0,0.8,C,,Under,,True
2,Illinois,Duke,27,31,-5.4,-6.333333333333333,0.9,63.1,51.5,11.6,-4.0,58.0,0.8,A+,,Over,,True
2,North Carolina,East Tennessee State,35,3,-32.8,-35.833333333333336,3.0,58.7,55.0,3.7,32.0,38.0,0.7,,Away,Over,True,False
2,Clemson,Georgia Southern,22,7,-19.8,-19.833333333333332,0.0,54.6,54.5,0.1,15.0,29.0,0.8,,,,,
2,Virginia,Norfolk State,59,3,-30.7,-47.333333333333336,16.6,55.6,56.5,-0.9,56.0,62.0,0.67,A+,Away,,False,
2,Virginia Tech,Old Dominion,44,21,-16.6,-17.666666666666668,1.1,47.8,47.5,0.3,23.0,65.0,0.8,,,,,
2,NC State,Richmond,73,0,-18.5,-33.333333333333336,14.8,55.6,50.5,5.1,73.0,73.0,0.67,A+,Away,Over,False,True
2,SMU,UC Davis,56,10,-18.6,-32.5,13.9,58.6,59.0,-0.4,46.0,66.0,0.64,A+,Away,,False,
2,Purdue,Wake Forest,36,38,0.4,2.6666666666666665,-2.3,44.7,51.333333333333336,-6.6,-2.0,74.0,0.8,B,,Under,,False
1,Minnesota,Eastern Illinois,59,7,-39.1,-42.5,3.4,55.6,52.5,3.1,52.0,66.0,0.67,,Away,Over,False,True
1,Rutgers,Massachusetts,21,37,-18.0,-29.333333333333332,11.3,56.3,54.833333333333336,1.5,-16.0,58.0,0.8,A+,Away,,True,
1,Illinois,UAB,42,23,-19.2,-25.833333333333332,6.6,58.3,54.166666666666664,4.1,19.0,65.0,0.8,B,Away,Over,True,True
1,Indiana,North Texas,52,16,-29.2,-39.833333333333336,10.6,55.0,56.666666666666664,-1.7,36.0,68.0,0.8,A+,Away,,True,
1,Iowa,Northern Illinois,40,0,-28.4,-31.666666666666668,3.3,55.0,44.5,10.5,40.0,40.0,0.8,A+,Away,Over,False,False
1,Maryland,Hampton,62,0,-43.3,-45.5,2.2,55.6,56.333333333333336,-0.7,62.0,62.0,0.67,,,,,
1,Michigan,Western Michigan,13,12,-18.9,-27.5,8.6,44.2,49.833333333333336,-5.6,1.0,25.0,0.8,A,Away,Under,True,True
1,Michigan State,Toledo,30,20,-11.8,-10.0,-1.8,45.8,48.5,-2.7,10.0,50.0,0.8,,,,,
1,Nebraska,Ohio,49,21,-19.6,-23.666666666666668,4.1,52.7,47.166666666666664,5.5,28.0,70.0,0.8,C,Away,Over,False,True
1,Northwestern,South Dakota State,34,18,-12.4,-13.5,1.1,55.6,49.166666666666664,6.4,16.0,52.0,0.67,C,,Over,,True
1,Ohio State,Ball State,56,3,-43.0,-50.333333333333336,7.3,55.0,55.833333333333336,-0.8,53.0,59.0,0.8,B,Away,,False,
1,Oregon,Boise State,34,27,-17.4,-24.666666666666668,7.3,56.3,52.5,3.8,7.0,61.0,0.8,B,Away,Over,True,True
1,Penn State,Marshall,45,0,-25.9,-23.333333333333332,-2.6,55.0,53.0,2.0,45.0,45.0,0.8,,,,,
1,Purdue,Indiana State,44,19,-32.0,-35.166666666666664,3.2,58.7,55.666666666666664,3.0,25.0,63.0,0.7,,Away,Over,True,True
1,USC,Fresno State,39,0,-21.7,-21.833333333333332,0.1,54.9,51.333333333333336,3.6,39.0,39.0,0.8,,,Over,,False
1,Washington,Washington State,24,10,-15.1,-23.333333333333332,8.2,45.8,51.333333333333336,-5.5,14.0,34.0,0.8,A,Away,Under,True,True
1,Notre Dame,Wisconsin,41,13,-20.8,-20.833333333333332,0.0,52.5,46.166666666666664,6.3,28.0,54.0,0.8,B,,Over,,True
2,Indiana,Howard,55,0,-46.9,-57.5,10.6,61.7,67.16666666666667,-5.5,55.0,55.0,0.57,A,Away,Under,True,True
2,Michigan State,Eastern Michigan,35,7,-15.8,-17.5,1.7,52.4,49.666666666666664,2.7,28.0,42.0,0.8,,,,,
2,Nebraska,Bowling Green,56,7,-19.8,-30.5,10.7,50.5,48.666666666666664,1.8,49.0,63.0,0.8,A+,Away,,False,
2,Temple,Penn State,9,27,17.2,24.333333333333332,-7.1,55.6,50.0,5.6,-18.0,36.0,0.8,B,Home,Over,True,False
2,UCLA,San Diego State,28,10,-5.7,-13.5,7.8,49.5,53.5,-4.0,18.0,38.0,0.7,B,Away,Under,False,True
2,UConn,Maryland,14,38,10.5,11.5,-1.0,50.5,52.5,-2.0,-24.0,52.0,0.8,,,,,
2,USC,Louisiana,49,30,-20.5,-30.666666666666668,10.2,56.6,58.5,-1.9,19.0,79.0,0.8,A+,Away,,True,
2,Washington,Utah State,16,14,-19.2,-28.5,9.3,55.0,55.5,-0.5,2.0,30.0,0.8,A,Away,,True,
2,Wisconsin,Western Illinois,36,9,-32.4,-43.333333333333336,10.9,58.7,53.0,5.7,27.0,45.0,0.7,A,Away,Over,True,False
2,Notre Dame,Rice,52,0,-33.0,-44.666666666666664,11.7,55.0,54.5,0.5,52.0,52.0,0.8,A+,Away,,False,
1,Colorado State,Wyoming,35,13,-8.2,-2.6666666666666665,-5.5,42.0,46.166666666666664,-4.2,22.0,48.0,0.8,C,Home,Under,True,False
1,San Diego State,Portland State,53,20,-33.8,-39.166666666666664,5.4,58.7,62.0,-3.3,33.0,73.0,0.7,C,Away,Under,True,False
1,Utah State,Idaho State,17,29,-4.5,-15.166666666666666,10.7,53.5,59.666666666666664,-6.2,-12.0,46.0,0.8,A+,Away,Under,True,True
2,Boise State,Memphis,38,20,-7.1,-9.333333333333334,2.2,59.5,54.5,5.0,18.0,58.0,0.8,C,,Over,,True
2,Colorado State,Southern Utah,58,24,-11.6,-19.666666666666668,8.1,53.5,57.333333333333336,-3.8,34.0,82.0,0.8,A,Away,Under,False,False
2,Fresno State,Sacramento State,49,3,-15.1,-17.833333333333332,2.7,50.5,43.833333333333336,6.7,46.0,52.0,0.8,B,,Over,,True
