week,homeTeam,awayTeam,home_score,away_score,model_spread,vegas_spread,edge_spread,model_total,vegas_total,edge_total,actual_margin,actual_total,confidence,grade,bet_spread,bet_total,won_spread,won_total
12,Georgia Southern,Old Dominion,17,20,-5.6,-7.0,1.4,67.3,60.5,6.8,-3.0,37.0,1.0,A,,Over,,False
11,North Carolina,Duke,47,45,1.5,-9.5,11.0,54.6,,,2.0,92.0,1.0,A+,Away,,True,
13,Oklahoma State,BYU,40,34,-10.5,-17.5,7.0,61.1,,,6.0,74.0,1.0,A,Away,,True,
13,Boise State,Air Force,27,19,-5.3,-6.5,1.2,53.0,,,8.0,46.0,1.0,,,,,
10,Air Force,Army,3,23,-11.4,-18.5,7.1,33.0,32.0,1.0,-20.0,26.0,1.0,A,Away,,True,
11,Miami (OH),Akron,19,0,-22.2,-17.0,-5.2,22.4,42.0,-19.6,19.0,19.0,1.0,A+,Home,Under,True,True
13,Ball State,Miami (OH),15,17,10.0,6.5,3.5,20.7,,,-2.0,32.0,1.0,C,Away,,False,
11,Kent State,Bowling Green,19,49,17.6,8.5,9.1,37.5,41.0,-3.5,-30.0,68.0,1.0,A+,Away,Under,True,False
11,Toledo,Eastern Michigan,49,23,-16.7,-18.5,1.8,32.6,47.0,-14.4,26.0,72.0,1.0,A+,,Under,,False
13,South Florida,Charlotte,48,14,-19.1,-5.5,-13.6,57.7,,,34.0,62.0,1.0,A+,Home,,True,
11,Northern Illinois,Ball State,17,20,-7.5,-10.5,3.0,27.0,43.0,-16.0,-3.0,37.0,1.0,A+,,Under,,True
13,Kansas State,Iowa State,35,42,-11.7,-11.5,-0.2,52.8,,,-7.0,77.0,1.0,,,,,
13,Arkansas,Missouri,14,48,9.8,7.0,2.8,55.0,,,-34.0,62.0,1.0,,,,,
13,UTEP,Liberty,28,42,20.7,17.0,3.7,57.0,,,-14.0,70.0,1.0,C,Away,,False,
11,Western Michigan,Central Michigan,38,28,-4.9,-3.5,-1.4,48.7,55.5,-6.8,10.0,66.0,1.0,A,,Under,,False
11,Buffalo,Ohio,10,20,7.4,7.0,0.4,27.0,44.5,-17.5,-10.0,30.0,1.0,A+,,Under,,True
13,Nebraska,Iowa,10,13,1.4,1.0,0.4,-1.8,,,-3.0,23.0,1.0,,,,,
13,Texas State,South Alabama,52,44,1.5,5.0,-3.5,67.2,,,8.0,96.0,1.0,C,Home,,True,
12,Texas Tech,UCF,24,23,-2.0,-3.0,1.0,55.4,60.0,-4.6,1.0,47.0,1.0,B,,Under,,True
13,Duke,Pittsburgh,30,19,-17.4,-6.5,-10.9,37.7,,,11.0,49.0,1.0,A+,Home,,True,
11,Louisiana,Southern Miss,31,34,-13.4,-12.0,-1.4,71.0,53.5,17.5,-3.0,65.0,1.0,A+,,Over,,True
11,Louisville,Virginia,31,24,-18.3,-19.5,1.2,50.7,51.5,-0.8,7.0,55.0,1.0,,,,,
13,Temple,Memphis,21,45,19.4,11.0,8.4,72.9,,,-24.0,66.0,1.0,A+,Away,,True,
12,UTSA,South Florida,49,21,-10.0,-15.5,5.5,67.1,67.5,-0.4,28.0,70.0,1.0,B,Away,,False,
11,SMU,North Texas,45,21,-25.3,-15.5,-9.8,76.9,68.0,8.9,24.0,66.0,1.0,A+,Home,Over,True,False
13,East Carolina,Tulsa,27,29,-10.0,-3.0,-7.0,44.7,,,-2.0,56.0,1.0,A,Home,,False,
11,Kentucky,Alabama,21,49,12.7,10.0,2.7,51.8,,,-28.0,70.0,1.0,,,,,
11,UNLV,Wyoming,34,14,-8.5,-2.5,-6.0,60.0,,,20.0,48.0,1.0,A,Home,,True,
12,Georgia Tech,Syracuse,31,22,-12.3,-6.0,-6.3,52.4,53.0,-0.6,9.0,53.0,1.0,A,Home,,True,
13,Tennessee,Vanderbilt,48,24,-27.4,-25.5,-1.9,59.6,,,24.0,72.0,1.0,,,,,
12,Auburn,New Mexico State,10,31,-16.9,-22.0,5.1,41.2,48.5,-7.3,-21.0,41.0,1.0,A,Away,Under,True,True
11,Florida Atlantic,East Carolina,7,22,-1.5,-9.5,8.0,36.8,,,-15.0,29.0,1.0,A+,Away,,True,
13,UCLA,California,7,33,-8.6,-10.0,1.4,52.9,,,-26.0,40.0,1.0,,,,,
11,Charlotte,Memphis,38,44,21.5,11.0,10.5,65.7,,,-6.0,82.0,1.0,A+,Away,,False,
11,Wake Forest,NC State,6,26,7.7,2.5,5.2,37.9,,,-20.0,32.0,1.0,B,Away,,True,
13,Texas,Texas Tech,57,7,-18.4,-13.5,-4.9,56.9,,,50.0,64.0,1.0,B,Home,,True,
11,Purdue,Minnesota,49,30,5.3,0.0,5.3,35.6,45.5,-9.9,19.0,79.0,1.0,A+,Away,Under,False,False
11,UCF,Oklahoma State,45,3,-3.0,2.5,-5.5,61.0,64.0,-3.0,42.0,48.0,1.0,B,Home,,True,
13,Sam Houston,Middle Tennessee,23,20,0.9,4.0,-3.1,41.9,,,3.0,43.0,0.75,,Home,,True,
11,Clemson,Georgia Tech,42,21,-9.3,-15.5,6.2,52.4,55.0,-2.6,21.0,63.0,1.0,A,Away,,False,
11,South Florida,Temple,27,23,-17.0,-7.5,-9.5,64.9,66.5,-1.6,4.0,50.0,1.0,A+,Home,,False,
11,Boston College,Virginia Tech,22,48,7.0,-2.5,9.5,46.2,50.0,-3.8,-26.0,70.0,1.0,A+,Away,Under,True,False
