week,homeTeam,awayTeam,home_score,away_score,model_spread,vegas_spread,edge_spread,model_total,vegas_total,edge_total,actual_margin,actual_total,confidence,grade,bet_spread,bet_total,won_spread,won_total
15,Western Michigan,Miami (OH),23,13,-0.2,-2.5,2.3,42.0,44.5,-2.5,10.0,36.0,1.0,,,,,
15,Jacksonville State,Kennesaw State,15,19,-5.7,3.0,-8.7,64.8,62.5,2.3,-4.0,34.0,1.0,A+,Home,,False,
15,Texas Tech,BYU,34,7,-12.0,-12.5,0.5,52.9,50.5,2.4,27.0,41.0,1.0,,,,,
15,Ohio State,Indiana,10,13,-5.8,-3.5,-2.3,44.6,45.5,-0.9,-3.0,23.0,1.0,,,,,
15,Boise State,UNLV,38,21,-6.3,-6.0,-0.3,66.4,59.5,6.9,17.0,59.0,1.0,A,,Over,,False
15,Virginia,Duke,20,27,-1.4,-3.5,2.1,59.5,58.5,1.0,-7.0,47.0,1.0,,,,,
14,Arizona State,Arizona,7,23,3.2,1.5,1.7,52.1,48.5,3.6,-16.0,30.0,1.0,C,,Over,,False
15,Alabama,Georgia,7,28,0.9,1.5,-0.6,48.7,48.5,0.2,-21.0,35.0,1.0,,,,,
16,Navy,Army,17,16,-1.4,-6.5,5.1,58.9,37.5,21.4,1.0,33.0,1.0,A+,Away,Over,True,False
14,Tulsa,UAB,24,31,-6.6,-9.5,2.9,68.7,56.5,12.2,-7.0,55.0,1.0,A+,,Over,,False
15,Tulane,North Texas,34,21,-2.1,1.5,-3.6,73.3,66.5,6.8,13.0,55.0,1.0,A,Home,Over,True,False
14,Oklahoma State,Iowa State,13,20,9.6,14.0,-4.4,51.0,46.5,4.5,-7.0,33.0,1.0,B,Home,Over,True,False
14,Purdue,Indiana,3,56,11.0,28.5,-17.5,55.0,53.5,1.5,-53.0,59.0,1.0,A+,Home,,False,
14,Old Dominion,Georgia State,27,10,-15.0,-28.5,13.5,55.0,58.5,-3.5,17.0,37.0,1.0,A+,Away,Under,True,True
15,James Madison,Troy,31,14,-14.1,-24.5,10.4,57.3,47.5,9.8,17.0,45.0,1.0,A+,Away,Over,True,False
5,Arkansas,Notre Dame,13,56,8.7,5.5,3.2,64.4,64.5,-0.1,-43.0,69.0,1.0,C,Away,,True,
4,Nebraska,Michigan,27,30,4.5,1.5,3.0,48.0,47.5,0.5,-3.0,57.0,0.9,,,,,
4,Washington State,Washington,24,59,6.6,21.0,-14.4,46.3,51.5,-5.2,-35.0,83.0,0.9,A+,Home,Under,False,False
5,Washington,Ohio State,6,24,4.9,9.5,-4.6,44.2,52.5,-8.3,-18.0,30.0,1.0,A+,Home,Under,False,True
5,Ole Miss,LSU,24,19,-7.6,-2.5,-5.1,49.2,57.5,-8.3,5.0,43.0,1.0,A+,Home,Under,True,True
1,Kansas,Fresno State,31,7,-2.0,-14.0,12.0,52.1,51.5,0.6,24.0,38.0,0.8,A+,Away,,False,
1,Western Kentucky,Sam Houston,41,24,-18.2,-9.5,-8.7,56.2,60.5,-4.3,17.0,65.0,0.8,A,Home,Under,True,False
1,Hawai'i,Stanford,23,20,-9.4,-1.5,-7.9,50.2,53.5,-3.3,3.0,43.0,0.7,B,Home,Under,True,True
1,South Florida,Boise State,34,7,-6.1,8.5,-14.6,65.8,63.5,2.3,27.0,41.0,0.8,A+,Home,,True,
1,Rutgers,Ohio,34,31,-8.5,-11.5,3.0,59.3,46.5,12.8,3.0,65.0,0.8,A+,,Over,,True
1,UCF,Jacksonville State,17,10,-5.3,-16.5,11.2,55.4,53.5,1.9,7.0,27.0,0.8,A+,Away,,True,
1,NC State,East Carolina,24,17,1.5,-12.5,14.0,62.1,58.5,3.6,7.0,41.0,0.7,A+,Away,Over,True,False
1,Akron,Wyoming,0,10,1.1,8.5,-7.4,42.0,49.5,-7.5,-10.0,10.0,0.8,A,Home,Under,False,True
1,Minnesota,Buffalo,23,10,-13.2,-16.5,3.3,42.5,45.5,-3.0,13.0,33.0,0.8,,Away,,True,
1,Wisconsin,Miami (OH),17,0,-4.6,-17.5,12.9,42.0,40.5,1.5,17.0,17.0,0.7,A+,Away,,True,
1,Cincinnati,Nebraska,17,20,-1.2,6.5,-7.7,56.7,52.5,4.2,-3.0,37.0,0.8,A,Home,Over,True,False
1,Michigan State,Western Michigan,23,6,-3.1,-18.5,15.4,47.4,49.5,-2.1,17.0,29.0,0.7,A+,Away,,True,
1,Wake Forest,Kennesaw State,10,9,-7.9,-17.5,9.6,52.7,51.5,1.2,1.0,19.0,0.8,A,Away,,True,
1,Charlotte,App State,11,34,8.5,8.5,0.0,61.1,53.5,7.6,-23.0,45.0,0.8,A,,Over,,False
1,Colorado,Georgia Tech,20,27,5.1,4.0,1.1,58.1,55.5,2.6,-7.0,47.0,0.8,,,,,
1,Baylor,Auburn,24,38,1.5,1.5,0.0,60.4,57.5,2.9,-14.0,62.0,0.8,,,,,
1,Sam Houston,UNLV,21,38,12.8,13.5,-0.7,57.4,58.5,-1.1,-17.0,59.0,0.8,,,,,
1,San José State,Central Michigan,14,16,2.7,-11.5,14.2,47.9,50.5,-2.6,-2.0,30.0,0.8,A+,Away,,True,
1,Purdue,Ball State,31,0,-19.6,-16.5,-3.1,48.2,50.5,-2.3,31.0,31.0,0.8,,Home,,True,
1,Maryland,Florida Atlantic,39,7,-4.2,-16.5,12.3,63.6,57.5,6.1,32.0,46.0,0.8,A+,Away,Over,False,False
1,Southern Miss,Mississippi State,17,34,0.2,11.5,-11.3,68.3,59.5,8.8,-17.0,51.0,0.8,A+,Home,Over,False,False
1,Tulane,Northwestern,23,3,-3.0,-6.5,3.5,53.0,47.5,5.5,20.0,26.0,0.8,C,Away,Over,False,False
1,Kentucky,Toledo,24,16,-1.8,-10.0,8.2,42.1,48.5,-6.4,8.0,40.0,0.7,B,Away,Under,True,True
1,Indiana,Old Dominion,27,14,-18.0,-23.5,5.5,55.0,54.5,0.5,13.0,41.0,0.8,C,Away,,True,
1,Florida State,Alabama,31,17,3.5,13.5,-10.0,47.4,50.5,-3.1,14.0,48.0,0.8,A+,Home,Under,True,True
1,Georgia,Marshall,45,7,-23.0,-39.5,16.5,56.7,55.5,1.2,38.0,52.0,0.8,A+,Away,,True,
1,Penn State,Nevada,46,11,-21.8,-45.5,23.7,55.0,58.5,-3.5,35.0,57.0,0.8,A+,Away,Under,True,True
1,Massachusetts,Temple,10,42,16.1,3.0,13.1,55.0,51.5,3.5,-32.0,52.0,0.8,A+,Away,Over,True,True
1,Virginia,Coastal Carolina,48,7,-14.6,-12.5,-2.1,55.0,57.5,-2.5,41.0,55.0,0.8,,,,,
1,Texas A&M,UTSA,42,24,-12.2,-21.5,9.3,62.0,56.5,5.5,18.0,66.0,0.8,A,Away,Over,True,True
1,Clemson,LSU,10,17,-2.2,-3.5,1.3,42.0,57.5,-15.5,-7.0,27.0,0.8,A+,,Under,,True
1,Michigan,New Mexico,34,17,-8.7,-36.5,27.8,48.3,52.5,-4.2,17.0,51.0,0.8,A+,Away,Under,True,True
1,USC,Missouri State,73,13,-18.6,-34.5,15.9,58.9,59.5,-0.6,60.0,86.0,0.8,A+,Away,,False,
1,Utah State,UTEP,28,16,-13.7,-3.5,-10.2,63.7,59.5,4.2,12.0,44.0,0.8,A+,Home,Over,True,False
1,Ole Miss,Georgia State,63,7,-30.7,-38.5,7.8,55.0,62.5,-7.5,56.0,70.0,0.8,A,Away,Under,False,False
1,Louisiana,Rice,12,14,-9.4,-14.5,5.1,59.5,49.5,10.0,-2.0,26.0,0.8,A+,Away,Over,True,False
1,Texas State,Eastern Michigan,52,27,-12.2,-14.0,1.8,66.3,58.5,7.8,25.0,79.0,0.8,A,,Over,,True
1,Fresno State,Georgia Southern,42,14,-10.4,-2.5,-7.9,58.7,54.5,4.2,28.0,56.0,0.8,A,Home,Over,True,True
1,Arizona,Hawai'i,40,6,-11.0,-13.5,2.5,55.7,55.5,0.2,34.0,46.0,0.8,,,,,
1,Oregon State,California,15,34,2.5,-3.0,5.5,49.9,51.5,-1.6,-19.0,49.0,0.8,C,Away,,True,
1,Washington,Colorado State,38,21,-19.7,-20.5,0.8,55.0,52.5,2.5,17.0,59.0,0.8,,,,,
1,UCLA,Utah,10,43,11.8,6.5,5.3,55.0,50.5,4.5,-33.0,53.0,0.8,C,Away,Over,True,True
1,Miami,Notre Dame,27,24,0.6,2.5,-1.9,53.4,53.5,-0.1,3.0,51.0,0.8,,,,,
1,North Carolina,TCU,14,48,10.2,3.0,7.2,49.2,59.5,-10.3,-34.0,62.0,0.8,A+,Away,Under,True,False
2,Iowa State,Iowa,16,13,2.2,-1.5,3.7,42.9,,,3.0,29.0,0.8,,Away,,False,
2,Missouri,Kansas,42,31,-7.8,-7.0,-0.8,54.6,,,11.0,73.0,0.8,,,,,
2,Oklahoma,Michigan,24,13,-4.3,-3.0,-1.3,42.0,47.5,-5.5,11.0,37.0,0.8,C,,Under,,True
1,South Carolina,Virginia Tech,24,11,-10.3,-8.5,-1.8,46.7,48.5,-1.8,13.0,35.0,0.8,,,,,
1,Tennessee,Syracuse,45,26,-18.1,-13.5,-4.6,56.5,53.5,3.0,19.0,71.0,0.8,C,Home,,True,
4,Oregon,Oregon State,41,7,-21.5,-33.5,12.0,55.0,58.5,-3.5,34.0,48.0,0.9,A+,Away,Under,False,True
6,Florida,Texas,29,21,3.8,4.5,-0.7,46.8,42.5,4.3,8.0,50.0,1.0,C,,Over,,True
4,Utah,Texas Tech,10,34,-0.4,-3.5,3.1,57.4,58.5,-1.1,-24.0,44.0,0.9,,Away,,True,
4,Indiana,Illinois,63,10,-13.0,-7.0,-6.0,54.3,51.5,2.8,53.0,73.0,0.9,B,Home,,True,
7,Utah,Arizona State,42,10,-13.3,-9.5,-3.8,56.8,44.5,12.3,32.0,52.0,1.0,A+,Home,Over,True,True
6,Florida State,Miami,22,28,4.2,3.5,0.7,47.6,54.5,-6.9,-6.0,50.0,1.0,A,,Under,,True
8,Notre Dame,USC,34,24,-7.6,-10.5,2.9,64.8,60.5,4.3,10.0,58.0,1.0,C,,Over,,False
8,Miami,Louisville,21,24,-7.0,-10.5,3.5,48.5,49.5,-1.0,-3.0,45.0,1.0,C,Away,,True,
5,Georgia,Alabama,21,24,-3.7,-2.5,-1.2,48.7,53.5,-4.8,-3.0,45.0,1.0,B,,Under,,True
7,Texas,Oklahoma,23,6,-5.0,-2.5,-2.5,42.4,44.5,-2.1,17.0,29.0,0.9,,,,,
12,Louisville,Clemson,19,20,2.7,-1.5,4.2,46.4,50.5,-4.1,-1.0,39.0,1.0,C,Away,Under,True,True
9,South Carolina,Alabama,22,29,1.7,11.5,-9.8,43.7,47.5,-3.8,-7.0,51.0,1.0,A+,Home,Under,True,False
6,Notre Dame,Boise State,28,7,-16.4,-21.5,5.1,57.7,63.5,-5.8,21.0,35.0,1.0,B,Away,Under,True,True
6,North Carolina,Clemson,10,38,9.5,15.5,-6.0,43.8,47.5,-3.7,-28.0,48.0,1.0,A,Home,Under,False,False
12,Georgia,Texas,35,10,-3.8,-3.5,-0.3,51.2,50.5,0.7,25.0,45.0,1.0,,,,,
7,Oregon,Indiana,20,30,-0.1,-7.0,6.9,51.5,51.5,0.0,-10.0,50.0,1.0,A,Away,,True,
8,Georgia,Ole Miss,43,35,-3.5,-7.5,4.0,59.1,56.5,2.6,8.0,78.0,1.0,C,Away,,False,
9,Kansas,Kansas State,17,42,0.9,-3.5,4.4,64.3,55.5,8.8,-25.0,59.0,1.0,A+,Away,Over,True,True
8,Arizona State,Texas Tech,26,22,10.3,7.5,2.8,53.3,52.5,0.8,4.0,48.0,1.0,,,,,
10,Florida,Georgia,20,24,4.3,7.0,-2.7,50.9,50.5,0.4,-4.0,44.0,1.0,,,,,
9,Michigan State,Michigan,20,31,7.7,13.5,-5.8,51.8,47.5,4.3,-11.0,51.0,1.0,B,Home,Over,True,True
10,Ohio State,Penn State,38,14,-3.9,-17.5,13.6,47.8,45.5,2.3,24.0,52.0,1.0,A+,Away,,False,
